price,metro_stations_list,metro_station,walk_time,rooms,floor,floors_total,square_total,square_kitchen,ceiling_height,wall_material,renovation,year_built,owners_count,infrastructure,yard_improvement,publication_date,edit_date,ad_id,url,square_living
23000000,"Сухаревская: 12 мин, Площадь трёх вокзалов: 8 мин, Площадь трёх вокзалов: 9 мин, Красные ворота: 12 мин, Комсомольская: 13 мин, Проспект Мира: 13 мин, Тургеневская: 17 мин, Сретенский бульвар: 18 мин, Чистые пруды: 18 мин, Суворовская: 16 мин",Площадь трёх вокзалов,8 мин,,6.0,18.0,65.0,10.0,2.5,Монолитный,Есть ремонт,2018.0,,Школы,Парковка,,,322341943,https://www.cian.ru/sale/flat/322341943/,
21600000,"Аэропорт: 8 мин, Сокол: 9 мин, Красный Балтиец: 14 мин",Аэропорт,8 мин,1.0,1.0,12.0,54.1,10.0,3.0,Кирпичный,,,,Магазины,Парковка,,,322623557,https://www.cian.ru/sale/flat/322623557/,21.8
17500000,"Яхромская: 3 мин, Селигерская: 18 мин, Бескудниково: 22 мин",Яхромская,3 мин,1.0,12.0,24.0,43.2,11.0,2.8,Монолитный,Есть ремонт,2019.0,,"Школы, Магазины",Парковка,,,323461573,https://www.cian.ru/sale/flat/323461573/,14.1
16990000,"Потапово: 9 мин, Новомосковская: 5 мин, Бунинская аллея: 6 мин",Новомосковская,5 мин,2.0,17.0,17.0,51.0,17.0,2.7,,Евроремонт,2023.0,,"Школы, Магазины","Видеонаблюдение, Парковка",,,320763650,https://www.cian.ru/sale/flat/320763650/,23.0
11500000,"Говорово: 13 мин, Мещерская: 25 мин, Солнцево: 6 мин",Солнцево,6 мин,,8.0,9.0,27.4,8.0,2.65,Монолитно-кирпичный,Евроремонт,2019.0,,"Школы, Магазины, Торговые центры",Парковка,,,316952868,https://www.cian.ru/sale/flat/316952868/,14.4
16500000,"Чертановская: 10 мин, Севастопольская: 11 мин, Каховская: 12 мин, Варшавская: 13 мин",Чертановская,10 мин,2.0,4.0,14.0,51.0,9.8,2.75,Панельный,,,,,Парковка,,,323019582,https://www.cian.ru/sale/flat/323019582/,30.3
15300000,"Говорово: 9 мин, Мещерская: 22 мин, Солнцево: 5 мин",Солнцево,5 мин,1.0,8.0,24.0,37.3,10.0,,Монолитный,Есть ремонт,2020.0,,"Магазины, Торговые центры",Парковка,,,318434355,https://www.cian.ru/sale/flat/318434355/,14.0
51900000,"Авиамоторная: 14 мин, Авиамоторная: 16 мин, Москва-Товарная: 16 мин, Авиамоторная: 18 мин, Площадь Ильича: 20 мин",Авиамоторная,14 мин,4.0,21.0,28.0,94.5,9.2,3.1,,Есть ремонт,2021.0,,"Школы, Магазины",Парковка,,,323245722,https://www.cian.ru/sale/flat/323245722/,58.2
15800000,"Шипиловская: 16 мин, Домодедовская: 19 мин, Красногвардейская: 25 мин",Шипиловская,16 мин,3.0,8.0,9.0,58.9,7.5,,,,,,Школы,,,,323469664,https://www.cian.ru/sale/flat/323469664/,46.4
12900000,"Аннино: 9 мин, Улица Академика Янгеля: 12 мин, Красный Строитель: 14 мин",Аннино,9 мин,,9.0,14.0,35.1,8.0,2.64,Панельный,,2016.0,,"Школы, Магазины",Парковка,,,322345360,https://www.cian.ru/sale/flat/322345360/,15.6
11999999,"Красногвардейская: 7 мин, Шипиловская: 8 мин, Зябликово: 12 мин, Домодедовская: 18 мин",Красногвардейская,7 мин,1.0,2.0,9.0,32.4,5.0,2.7,Панельный,Евроремонт,,,Магазины,Парковка,,,322711458,https://www.cian.ru/sale/flat/322711458/,18.5
13500000,"Алексеевская: 12 мин, ВДНХ: 20 мин, Рижская: 5 мин",Рижская,5 мин,1.0,12.0,12.0,30.0,6.1,2.8,Панельный,,,,Школы,Парковка,,,319229257,https://www.cian.ru/sale/flat/319229257/,15.6
62000000,"Профсоюзная: 11 мин, Вавиловская: 14 мин, Новые Черёмушки: 21 мин",Профсоюзная,11 мин,4.0,17.0,27.0,173.0,35.0,,,,,,,Парковка,,,320849530,https://www.cian.ru/sale/flat/320849530/,110.0
13800000,"Кожуховская: 8 мин, Дубровка: 18 мин, Автозаводская: 20 мин",Кожуховская,8 мин,1.0,2.0,17.0,36.7,8.0,2.64,Панельный,Есть ремонт,,,Магазины,Парковка,,,322778941,https://www.cian.ru/sale/flat/322778941/,19.0
190000000,"Пушкинская: 10 мин, Тверская: 11 мин, Маяковская: 14 мин, Чеховская: 14 мин, Баррикадная: 16 мин, Арбатская: 17 мин, Краснопресненская: 19 мин",Пушкинская,10 мин,,9.0,9.0,89.0,18.0,3.5,Сталинский,,,1.0,"Школы, Магазины",Парковка,,,319771933,https://www.cian.ru/sale/flat/319771933/,60.0
21100000,"Царицыно: 5 мин, Каспийская: 7 мин, Липецкая: 22 мин, Пражская: 6 мин, Кантемировская: 7 мин",Царицыно,5 мин,2.0,11.0,15.0,63.5,9.3,2.7,Кирпичный,Евроремонт,2012.0,,"Школы, Магазины",Парковка,,,323450466,https://www.cian.ru/sale/flat/323450466/,32.9
12039000,"Водный стадион: 11 мин, Речной вокзал: 14 мин, Балтийская: 5 мин",Балтийская,5 мин,2.0,3.0,5.0,43.0,,,Кирпичный,,,,Торговые центры,,,,323400909,https://www.cian.ru/sale/flat/323400909/,
